Variable,Contribution
3TQSM_CM_striatum_left_meansusc,0.0765610292700076
3TQSM_EX_striatum_right_meansusc,0.03882783882783883
3TQSM_Caudate_left_meansusc,0.0266771331738437
3TQSM_PA_striatum_right_meansusc,0.025090767076061192
3TQSM_VTA_right_meansusc,0.02435844348887827
3TQSM_Caudate_right_meansusc,0.008506944444444445
3TQSM_TE_striatum_right_meansusc,0.007491772932949403
3TQSM_Putamen_right_meansusc,0.006017919988508225
3TQSM_Putamen_left_meansusc,0.00573278029160382
3TQSM_Ventralstriatum_left_meansusc,0.004929490799056019
3TQSM_RM_striatum_right_meansusc,0.004807692307692307
3TQSM_OC_striatum_left_meansusc,0.004756944444444444
3TQSM_VTA_left_meansusc,0.004166666666666666
3TQSM_LI_striatum_right_meansusc,0.002307692307692308
3TQSM_Ventralstriatum_right_meansusc,0.0021648939295998114
3TQSM_RM_striatum_left_meansusc,0.0011363636363636354
3TQSM_CM_striatum_right_meansusc,0.0
3TQSM_SNr_right_meansusc,0.0
3TQSM_SNc_left_meansusc,-0.003126099798893922
3TQSM_LI_striatum_left_meansusc,-0.0035714285714285713
3TQSM_EX_striatum_left_meansusc,-0.005408653846153846
3TQSM_OC_striatum_right_meansusc,-0.011025641025641025
3TQSM_PA_striatum_left_meansusc,-0.014418052385351146
3TQSM_SNr_left_meansusc,-0.019047619047619046
3TQSM_TE_striatum_left_meansusc,-0.03283424908424908
3TQSM_SNc_right_meansusc,-0.0434616041852884
