Variable,Contribution
3TQSM_VTA_right_meansusc,0.07359904039315804
3TQSM_CM_striatum_right_meansusc,0.0637021416586634
3TQSM_PA_striatum_left_meansusc,0.06068608900845742
3TQSM_SNc_left_meansusc,0.051277381255070045
3TQSM_VTA_left_meansusc,0.032997914366335424
3TQSM_PA_striatum_right_meansusc,0.02605008716773423
3TQSM_Caudate_right_meansusc,0.011429824561403507
3TQSM_SNc_right_meansusc,0.010786315536315537
3TQSM_EX_striatum_right_meansusc,0.006965884179758857
3TQSM_EX_striatum_left_meansusc,0.006896189336978811
3TQSM_Putamen_left_meansusc,0.006559227265109617
3TQSM_OC_striatum_right_meansusc,0.00545530492898914
3TQSM_LI_striatum_right_meansusc,0.0035522172186258877
3TQSM_Putamen_right_meansusc,0.003538461538461538
3TQSM_RM_striatum_right_meansusc,0.0033333333333333335
3TQSM_TE_striatum_right_meansusc,0.0022852683378999155
3TQSM_SNr_right_meansusc,0.0003976723167899643
3TQSM_LI_striatum_left_meansusc,0.0
3TQSM_SNr_left_meansusc,-0.0026048707627655
3TQSM_RM_striatum_left_meansusc,-0.005204665704665705
3TQSM_OC_striatum_left_meansusc,-0.0057921661671661686
3TQSM_Ventralstriatum_left_meansusc,-0.011757326007326006
3TQSM_Ventralstriatum_right_meansusc,-0.016129594820384296
3TQSM_TE_striatum_left_meansusc,-0.017044725001246742
3TQSM_Caudate_left_meansusc,-0.040797870430223364
3TQSM_CM_striatum_left_meansusc,-0.04277372610189948
