Variable,Contribution
3TQSM_CM_striatum_left_meansusc,0.04277372610189949
3TQSM_Caudate_left_meansusc,0.0347524852280876
3TQSM_SNr_right_meansusc,0.0332240490990491
3TQSM_CM_striatum_right_meansusc,0.026692710049655802
3TQSM_SNc_left_meansusc,0.02209847899579021
3TQSM_Ventralstriatum_left_meansusc,0.01771092483816269
3TQSM_Ventralstriatum_right_meansusc,0.014671144773698956
3TQSM_VTA_right_meansusc,0.014406951483677823
3TQSM_OC_striatum_left_meansusc,0.011308972889855244
3TQSM_EX_striatum_right_meansusc,0.009822981366459628
3TQSM_RM_striatum_left_meansusc,0.0070300625300625304
3TQSM_TE_striatum_left_meansusc,0.006963878946716474
3TQSM_TE_striatum_right_meansusc,0.0005718745192429406
3TQSM_LI_striatum_right_meansusc,0.00032404540763673884
3TQSM_Putamen_right_meansusc,-0.0035384615384615385
3TQSM_LI_striatum_left_meansusc,-0.004666666666666667
3TQSM_RM_striatum_right_meansusc,-0.005778388278388279
3TQSM_SNr_left_meansusc,-0.006125287967393232
3TQSM_Putamen_left_meansusc,-0.006577052577052577
3TQSM_EX_striatum_left_meansusc,-0.006896189336978811
3TQSM_Caudate_right_meansusc,-0.01142982456140351
3TQSM_OC_striatum_right_meansusc,-0.01592262519042705
3TQSM_PA_striatum_right_meansusc,-0.020400349650349647
3TQSM_VTA_left_meansusc,-0.032228683597104645
3TQSM_PA_striatum_left_meansusc,-0.05038032124680731
3TQSM_SNc_right_meansusc,-0.07581584302636936
